occlusion_on,precision,recall,f1_score
thumb,0.8341604631927213,0.7760677183532128,0.8040661750049831
index_finger,0.9361430395913155,0.771578947368421,0.8459319099826891
middle_finger,0.952212389380531,0.7441217150760719,0.8354037267080746
ring_finger,0.9439788266431407,0.744865993734772,0.8326848249027237
pinky,0.936770036246476,0.8181498417164966,0.8734509951182876
