test_case,precision,recall,f1_score
thumb,0.9054410987849973,0.5894085281980743,0.7140179129348053
index_finger,0.927461139896373,0.5440729483282675,0.6858237547892719
middle_finger,0.937007874015748,0.5186054307743883,0.6676737160120846
ring_finger,0.9447815533980582,0.5196929238985314,0.6705426356589147
pinky,0.9414688017669796,0.5719557195571956,0.7116026711185309
