occlusion_on,keypoint,precision,recall,f1_score
pinky,4.0,0.9621425694724124,0.8220922229869236,0.8866208944145482
pinky,5.0,0.9967780910189287,0.8272058823529411,0.9041095890410957
pinky,6.0,0.9907370116794201,0.8263352368155862,0.901098901098901
pinky,7.0,0.9834877164720097,0.8252788104089219,0.8974641675854466
pinky,8.0,0.9738219895287958,0.8238500851788756,0.892580287929125
pinky,9.0,0.9991945227547322,0.8275517011340894,0.9053092501368363
pinky,10.0,0.9987917841320982,0.8274941608274942,0.9051094890510949
pinky,11.0,0.9895287958115183,0.8261600537995964,0.9004947773501925
pinky,12.0,0.9685863874345549,0.823066392881588,0.8899167437557818
pinky,13.0,0.9959726137736609,0.8270903010033445,0.9037091174858395
pinky,14.0,0.9947643979057592,0.8269166387679946,0.9031078610603291
pinky,15.0,0.9786548530004028,0.8245673566338649,0.8950276243093923
pinky,16.0,0.9480467176802255,0.8199233716475096,0.8793425476279417
pinky,17.0,0.9726137736608941,0.8236698499317872,0.89196675900277
pinky,18.0,0.9609343536045106,0.8219083706510506,0.8860007426661715
pinky,19.0,0.9395892066049134,0.8185964912280702,0.8749296831051941
pinky,20.0,0.9033427305678614,0.8126811594202898,0.8556170131604043
